File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cNcNOO-cFcNOO-c1NOO-_opt.log	c1c(N)c(N(=O)(=O))c(F)c(N(=O)(=O))c1(N(=O)(=O))	-0.28109	-0.15077	3.546189648000001
Hc1cNcNcCcNOO-c1CO_opt.log	c1c(N)c(N)c(C)c(N(=O)(=O))c1(C=O)	-0.21939	-0.08533	3.6479602840000003
Hc1cNcCcNOO-cCNc1CC_opt.log	c1c(N)c(C)c(N(=O)(=O))c(C#N)c1(C=C)	-0.23811	-0.09737	3.8297324359999996
Hc1cNcNcFcCOc1O_opt.log	c1c(N)c(N)c(F)c(C=O)c1(O)	-0.21968	-0.03587	5.001727433999999
Hc1cNcOcNOO-cNc1CO_opt.log	c1c(N)c(O)c(N(=O)(=O))c(N)c1(C=O)	-0.2339	-0.08106	4.158990376
Hc1cNcHcCOcCOc1CO_opt.log	c1c(N)cc(C=O)c(C=O)c1(C=O)	-0.2362	-0.07796	4.305931936
Hc1cNcHcNOO-cFc1CO_opt.log	c1c(N)cc(N(=O)(=O))c(F)c1(C=O)	-0.24014	-0.10676	3.6294565320000003
Hc1cNcHcCNcHc1CN_opt.log	c1c(N)cc(C#N)cc1(C#N)	-0.24375	-0.06489	4.867031004
Hc1cCcNOO-cOcFc1F_opt.log	c1c(C)c(N(=O)(=O))c(O)c(F)c1(F)	-0.27049	-0.09304	4.82866293
Hc1cNcCNcFcNOO-c1NOO-_opt.log	c1c(N)c(C#N)c(F)c(N(=O)(=O))c1(N(=O)(=O))	-0.27741	-0.13983	3.7437444119999994
Hc1cNcCOcCNcOc1CO_opt.log	c1c(N)c(C=O)c(C#N)c(O)c1(C=O)	-0.22955	-0.10401	3.4161191559999997
Hc1cNcCcFcNc1N_opt.log	c1c(N)c(C)c(F)c(N)c1(N)	-0.17445	0.0443	5.95249375
Hc1cNcFcNOO-cNOO-c1CO_opt.log	c1c(N)c(F)c(N(=O)(=O))c(N(=O)(=O))c1(C=O)	-0.26188	-0.12035	3.8512294419999997
